,0.01,0.025,0.05,0.075,0.1,0.25,0.5,0.75,1.0
0.01,1131.8,2889.6,4454.8,5316.4,5829.2,7057.0,7575.5,8031.7,8046.1
0.025,51.3,978.3,2121.4,3179.1,3667.5,5075.3,6062.3,6311.3,6275.5
0.05,1.7,323.6,1045.7,1560.5,2151.0,3391.4,4402.5,4443.3,4378.4
0.075,1.4,14.7,543.9,1113.4,1458.4,2314.1,3334.9,3303.1,3193.9
0.1,1.1,3.5,237.7,639.5,775.1,2057.2,2662.4,2556.5,2563.8
0.25,1.0,1.0,1.5,8.9,80.3,882.8,1091.1,1185.9,1218.5
0.5,1.0,1.0,1.0,1.2,1.9,361.3,552.4,630.8,646.6
0.75,1.0,1.0,1.0,1.0,1.0,139.2,375.5,426.3,432.3
1.0,1.0,1,1.0,1.0,1.0,31.5,286.1,320.1,328
